raisedhands,VisitedResources,AnnouncementsView,Discussion,Class
22,20,6,26,H
95,82,82,70,H
90,62,80,60,H
72,21,22,26,H
92,31,42,27,H
82,31,52,25,M
72,41,46,27,M
74,71,56,37,H
74,60,56,37,H
95,94,72,80,H
97,87,82,86,H
40,38,32,36,M
41,39,35,39,M
51,79,85,89,H
81,79,91,85,H
71,70,65,69,M
75,71,76,80,M
49,36,32,44,L
42,24,12,24,L
90,86,82,74,H
62,64,72,84,H
90,86,82,74,M
62,64,72,84,M
98,87,86,84,H
72,74,82,89,H
18,17,26,34,M
32,14,32,29,M
10,12,20,13,L
22,34,15,9,L
11,20,21,23,M
12,44,25,39,M
15,50,24,43,M
32,44,29,89,M
65,59,74,83,H
72,64,59,89,H
95,57,74,89,M
82,84,79,79,M
25,29,34,33,M
42,34,29,39,M
55,79,44,43,H
62,64,69,49,H
78,88,74,83,H
72,84,89,89,H
60,92,83,23,H
50,90,83,13,H
60,97,13,3,H
50,95,23,10,H
60,87,23,11,M
50,80,20,15,M
10,15,10,21,L
30,10,20,5,L
24,35,18,31,M
27,20,33,35,M
10,15,10,21,L
30,10,20,5,L
80,77,63,83,M
75,85,73,80,M
40,7,50,41,L
35,2,29,33,L
10,90,30,21,M
25,80,29,23,M
10,8,9,3,L
15,7,12,7,L
70,90,20,21,M
75,80,15,20,M
78,98,10,11,M
79,89,11,14,M
16,90,15,11,M
17,80,13,10,M
40,87,50,41,M
35,92,29,33,M
14,97,15,14,H
13,82,20,30,H
24,97,15,14,H
23,82,20,30,H
20,3,9,3,L
15,4,12,7,L
5,13,6,6,L
7,9,11,10,L
10,94,40,11,M
25,89,21,13,M
30,98,42,21,H
35,97,41,23,H
32,88,32,25,M
25,87,21,27,M
72,98,52,15,H
75,90,51,17,H
20,88,31,28,M
10,98,41,38,M
90,98,41,38,H
80,88,51,39,H
80,95,21,28,H
78,70,31,29,H
10,18,71,38,M
10,58,51,48,M
98,88,60,31,H
75,81,51,34,H
10,17,50,21,M
35,2,29,23,M
10,20,22,97,L
5,9,19,98,L
10,10,40,51,L
35,2,29,23,L
20,90,50,61,M
32,82,59,63,M
10,30,50,91,L
12,22,59,83,L
11,20,20,98,L
10,12,29,93,L
69,82,20,28,H
70,83,29,33,H
89,92,40,28,H
79,93,49,23,H
15,90,21,97,M
20,77,31,88,M
4,10,11,7,L
5,0,1,8,L
88,81,50,10,M
90,88,54,12,M
86,98,50,20,H
90,90,57,22,H
78,91,50,40,H
70,98,54,72,H
80,80,46,61,M
85,82,59,63,M
88,90,86,81,H
89,92,89,83,H
39,71,40,26,M
35,80,34,22,M
76,81,80,86,H
65,89,64,82,H
96,95,70,70,H
80,91,87,72,H
2,9,10,1,L
3,8,19,3,L
50,79,10,31,M
53,88,9,33,M
70,89,12,21,H
59,90,19,43,H
78,80,66,51,M
79,72,79,83,M
10,9,2,1,L
9,7,9,3,L
98,90,86,71,H
89,92,89,83,H
88,90,76,81,H
99,96,89,84,H
82,89,22,31,H
84,92,29,43,H
70,69,46,45,M
74,62,49,43,M
90,79,76,79,H
84,77,79,68,H
80,80,62,11,M
81,82,69,13,M
10,0,2,41,L
11,2,9,49,L
85,89,22,61,H
80,89,23,68,H
95,87,62,81,M
87,79,73,98,M
85,87,72,10,M
79,88,79,20,M
80,81,71,30,M
70,83,70,23,M
80,82,76,19,M
70,82,75,29,M
89,87,86,15,M
90,86,85,10,M
69,77,76,75,M
70,76,65,70,M
75,72,64,39,L
72,76,66,40,L
77,82,74,79,M
71,84,67,80,M
87,92,74,89,H
81,84,77,85,H
15,97,22,10,H
19,98,20,2,H
25,82,52,20,M
29,78,40,12,M
45,87,57,80,M
39,88,43,72,M
85,90,52,30,H
79,91,49,22,H
90,91,80,81,H
80,90,80,83,H
80,83,82,71,M
71,81,83,72,M
72,87,72,89,M
69,77,83,92,M
85,99,42,90,H
89,96,45,92,H
80,82,64,58,H
87,93,63,60,H
15,9,14,80,L
9,6,15,85,L
81,86,86,41,M
78,82,78,53,M
80,87,74,68,M
85,88,79,70,M
2,7,4,8,L
5,4,5,8,L
50,77,14,28,M
55,74,25,29,M
30,17,14,57,L
35,14,23,62,L
